Compétition,Nom équipe,Numéro de club,MailClub,Nom de club,Localité club,AdressePostale,Latitude,Longitude,Complément (club),Voie-rue (club),Lieu-dit (club),Code postal (club),Bureau distributeur (club),Libellé catégorie,Sous catégorie
Critérium U13 Départemental 2,Avord Fc 1,547510,547510@lcfoot.fr,F. C. AVORD,AVORD, 18520 AVORD,"47,032962","2,652172",MAIRIE,,,18520,AVORD,Libre / U13 - U12,U13 (- 13 ans)
Critérium U11 Niveau 2,Avord Fc 1,547510,547510@lcfoot.fr,F. C. AVORD,AVORD, 18520 AVORD,"47,032962","2,652172",MAIRIE,,,18520,AVORD,Libre / Football d'animation,U11 (- 11 ans)
Championnat Vétérans,Avord Fc 1,547510,547510@lcfoot.fr,F. C. AVORD,AVORD, 18520 AVORD,"47,032962","2,652172",MAIRIE,,,18520,AVORD,Foot Loisir / Foot Loisir,Foot Loisir
D3 Gar. Des Stuarts Distinxion,Avord Fc 2,547510,547510@lcfoot.fr,F. C. AVORD,AVORD, 18520 AVORD,"47,032962","2,652172",MAIRIE,,,18520,AVORD,Libre / Senior,Senior
Critérium U11 Niveau 3,Avord Fc 2,547510,547510@lcfoot.fr,F. C. AVORD,AVORD, 18520 AVORD,"47,032962","2,652172",MAIRIE,,,18520,AVORD,Libre / Football d'animation,U11 (- 11 ans)
U15 Départemental 2,Ent. Avord/Dun 1,547510,547510@lcfoot.fr,F. C. AVORD,AVORD, 18520 AVORD,"47,032962","2,652172",MAIRIE,,,18520,AVORD,Libre / U15 - U14,U15 (- 15 ans)
D4 My Team,Baugy As 1,504923,504923@lcfoot.fr,A. S. DE BAUGY,BAUGY,1 rue du Chancelier 18800 BAUGY,"47,080802","2,7281901",MAIRIE,1 rue du Chancelier,,18800,BAUGY,Libre / Senior,Senior
D3 Gar. Des Stuarts Distinxion,Loire Val D'Aubois 1,544759,544759@lcfoot.fr,O. LOIRE VAL D'AUBOIS,BEFFES, 18320 BEFFES,"47,092312","3,007085",MAIRIE,,,18320,BEFFES,Libre / Senior,Senior
U18 Départemental 1,Loire Val D'Aubois 1,544759,544759@lcfoot.fr,O. LOIRE VAL D'AUBOIS,BEFFES, 18320 BEFFES,"47,092312","3,007085",MAIRIE,,,18320,BEFFES,Libre / U19 - U18,U18 (- 18 ans)
U15 Départemental 3,Loire Val D'Aubois 1,544759,544759@lcfoot.fr,O. LOIRE VAL D'AUBOIS,BEFFES, 18320 BEFFES,"47,092312","3,007085",MAIRIE,,,18320,BEFFES,Libre / U15 - U14,U15 (- 15 ans)
Critérium U13 Départemental 3,Loire Val D'Aubois 1,544759,544759@lcfoot.fr,O. LOIRE VAL D'AUBOIS,BEFFES, 18320 BEFFES,"47,092312","3,007085",MAIRIE,,,18320,BEFFES,Libre / U13 - U12,U13 (- 13 ans)
Critérium U11 Niveau 2,Loire Val D'Aubois 1,544759,544759@lcfoot.fr,O. LOIRE VAL D'AUBOIS,BEFFES, 18320 BEFFES,"47,092312","3,007085",MAIRIE,,,18320,BEFFES,Libre / Football d'animation,U11 (- 11 ans)
Championnat Vétérans,Loire Val D'Aubois 1,544759,544759@lcfoot.fr,O. LOIRE VAL D'AUBOIS,BEFFES, 18320 BEFFES,"47,092312","3,007085",MAIRIE,,,18320,BEFFES,Foot Loisir / Foot Loisir,Foot Loisir
D4 My Team,Loire Val D'Aubois 2,544759,544759@lcfoot.fr,O. LOIRE VAL D'AUBOIS,BEFFES, 18320 BEFFES,"47,092312","3,007085",MAIRIE,,,18320,BEFFES,Libre / Senior,Senior
Critérium U13 Départemental 3,Loire Val D'Aubois 2,544759,544759@lcfoot.fr,O. LOIRE VAL D'AUBOIS,BEFFES, 18320 BEFFES,"47,092312","3,007085",MAIRIE,,,18320,BEFFES,Libre / U13 - U12,U13 (- 13 ans)
Critérium U11 Niveau 3,Loire Val D'Aubois 2,544759,544759@lcfoot.fr,O. LOIRE VAL D'AUBOIS,BEFFES, 18320 BEFFES,"47,092312","3,007085",MAIRIE,,,18320,BEFFES,Libre / Football d'animation,U11 (- 11 ans)
D4 My Team,Bengy Ams 1,546258,546258@lcfoot.fr,AM.S. BENGY S/CRAON,BENGY SUR CRAON,2 ROUTE DE FLAVIGNY 18520 BENGY SUR CRAON,"46,9987448","2,7487145",MAIRIE,2 ROUTE DE FLAVIGNY,,18520,BENGY SUR CRAON,Libre / Senior,Senior
Championnat Vétérans,Bengy Ams 1,546258,546258@lcfoot.fr,AM.S. BENGY S/CRAON,BENGY SUR CRAON,2 ROUTE DE FLAVIGNY 18520 BENGY SUR CRAON,"46,9987448","2,7487145",MAIRIE,2 ROUTE DE FLAVIGNY,,18520,BENGY SUR CRAON,Foot Loisir / Foot Loisir,Foot Loisir
D2 Cd18,A.S.I.E. Du Cher 1,581318,581318@lcfoot.fr,A. S. DES INDOCHINOIS / EURASIENS DU CHER,BOURGES,28 rue Gambon 18000 BOURGES,"47,0870399","2,391194",Maison des Associations,28 rue Gambon,,18000,BOURGES,Libre / Senior,Senior
Seniors Féminines À 8,A.S.I.E. Du Cher 1,581318,581318@lcfoot.fr,A. S. DES INDOCHINOIS / EURASIENS DU CHER,BOURGES,28 rue Gambon 18000 BOURGES,"47,0870399","2,391194",Maison des Associations,28 rue Gambon,,18000,BOURGES,Libre / Senior F,Senior F
U15 Foot À 8,A.S.I.E. Du Cher 1,581318,581318@lcfoot.fr,A. S. DES INDOCHINOIS / EURASIENS DU CHER,BOURGES,28 rue Gambon 18000 BOURGES,"47,0870399","2,391194",Maison des Associations,28 rue Gambon,,18000,BOURGES,Libre / U15 - U14,U15 (- 15 ans)
Critérium U13 Départemental 2,A.S.I.E. Du Cher 1,581318,581318@lcfoot.fr,A. S. DES INDOCHINOIS / EURASIENS DU CHER,BOURGES,28 rue Gambon 18000 BOURGES,"47,0870399","2,391194",Maison des Associations,28 rue Gambon,,18000,BOURGES,Libre / U13 - U12,U13 (- 13 ans)
Critérium U11 Niveau 3,A.S.I.E. Du Cher 1,581318,581318@lcfoot.fr,A. S. DES INDOCHINOIS / EURASIENS DU CHER,BOURGES,28 rue Gambon 18000 BOURGES,"47,0870399","2,391194",Maison des Associations,28 rue Gambon,,18000,BOURGES,Libre / Football d'animation,U11 (- 11 ans)
Championnat Vétérans,A.S.I.E. Du Cher 1,581318,581318@lcfoot.fr,A. S. DES INDOCHINOIS / EURASIENS DU CHER,BOURGES,28 rue Gambon 18000 BOURGES,"47,0870399","2,391194",Maison des Associations,28 rue Gambon,,18000,BOURGES,Foot Loisir / Foot Loisir,Foot Loisir
D4 My Team,A.S.I.E. Du Cher 2,581318,581318@lcfoot.fr,A. S. DES INDOCHINOIS / EURASIENS DU CHER,BOURGES,28 rue Gambon 18000 BOURGES,"47,0870399","2,391194",Maison des Associations,28 rue Gambon,,18000,BOURGES,Libre / Senior,Senior
Regional 1,Bourges Port. As 1,524968,524968@lcfoot.fr,A.S. DES PORTUGAIS BOURGES,BOURGES,ROUTE DE LA CHAPELLE ST.URSIN 18000 BOURGES,"47,0928502","2,4179004",STADE DES GRANDS BEAUREGARDS,ROUTE DE LA CHAPELLE ST.URSIN,,18000,BOURGES,Libre / Senior,Senior
U18 Départemental 1,Bourges Port. As 1,524968,524968@lcfoot.fr,A.S. DES PORTUGAIS BOURGES,BOURGES,ROUTE DE LA CHAPELLE ST.URSIN 18000 BOURGES,"47,0928502","2,4179004",STADE DES GRANDS BEAUREGARDS,ROUTE DE LA CHAPELLE ST.URSIN,,18000,BOURGES,Libre / U19 - U18,U18 (- 18 ans)
U15 Départemental 3,Bourges Port. As 1,524968,524968@lcfoot.fr,A.S. DES PORTUGAIS BOURGES,BOURGES,ROUTE DE LA CHAPELLE ST.URSIN 18000 BOURGES,"47,0928502","2,4179004",STADE DES GRANDS BEAUREGARDS,ROUTE DE LA CHAPELLE ST.URSIN,,18000,BOURGES,Libre / U15 - U14,U15 (- 15 ans)
D1 Trophée Mutuale,Bourges Port. As 2,524968,524968@lcfoot.fr,A.S. DES PORTUGAIS BOURGES,BOURGES,ROUTE DE LA CHAPELLE ST.URSIN 18000 BOURGES,"47,0928502","2,4179004",STADE DES GRANDS BEAUREGARDS,ROUTE DE LA CHAPELLE ST.URSIN,,18000,BOURGES,Libre / Senior,Senior
D3 Gar. Des Stuarts Distinxion,Bourges Port. As 3,524968,524968@lcfoot.fr,A.S. DES PORTUGAIS BOURGES,BOURGES,ROUTE DE LA CHAPELLE ST.URSIN 18000 BOURGES,"47,0928502","2,4179004",STADE DES GRANDS BEAUREGARDS,ROUTE DE LA CHAPELLE ST.URSIN,,18000,BOURGES,Libre / Senior,Senior
Regional 3 Feminin,Bourges Portu 1,524968,524968@lcfoot.fr,A.S. DES PORTUGAIS BOURGES,BOURGES,ROUTE DE LA CHAPELLE ST.URSIN 18000 BOURGES,"47,0928502","2,4179004",STADE DES GRANDS BEAUREGARDS,ROUTE DE LA CHAPELLE ST.URSIN,,18000,BOURGES,Libre / Senior F,Senior F
Critérium U13 Départemental 2,Bourges Portu. As 1,524968,524968@lcfoot.fr,A.S. DES PORTUGAIS BOURGES,BOURGES,ROUTE DE LA CHAPELLE ST.URSIN 18000 BOURGES,"47,0928502","2,4179004",STADE DES GRANDS BEAUREGARDS,ROUTE DE LA CHAPELLE ST.URSIN,,18000,BOURGES,Libre / U13 - U12,U13 (- 13 ans)
Critérium U11 Niveau 2,Bourges Portu. As 1,524968,524968@lcfoot.fr,A.S. DES PORTUGAIS BOURGES,BOURGES,ROUTE DE LA CHAPELLE ST.URSIN 18000 BOURGES,"47,0928502","2,4179004",STADE DES GRANDS BEAUREGARDS,ROUTE DE LA CHAPELLE ST.URSIN,,18000,BOURGES,Libre / Football d'animation,U11 (- 11 ans)
Championnat Vétérans,Bourges Portu. As 1,524968,524968@lcfoot.fr,A.S. DES PORTUGAIS BOURGES,BOURGES,ROUTE DE LA CHAPELLE ST.URSIN 18000 BOURGES,"47,0928502","2,4179004",STADE DES GRANDS BEAUREGARDS,ROUTE DE LA CHAPELLE ST.URSIN,,18000,BOURGES,Foot Loisir / Foot Loisir,Foot Loisir
E-Foot Orange,Perruchot V. 0,524968,524968@lcfoot.fr,A.S. DES PORTUGAIS BOURGES,BOURGES,ROUTE DE LA CHAPELLE ST.URSIN 18000 BOURGES,"47,0928502","2,4179004",STADE DES GRANDS BEAUREGARDS,ROUTE DE LA CHAPELLE ST.URSIN,,18000,BOURGES,Libre / Senior,Senior
D4 My Team,Franco-Turque Asc 1,582461,582461@lcfoot.fr,A.S.C. FRANCO-TURQUE DE BOURGES ET DU CHER,BOURGES,157 avenue du Général de Gaulle 18000 BOURGES,"47,1033543","2,4091684",,157 avenue du Général de Gaulle,,18000,BOURGES,Libre / Senior,Senior
N2,Bourges Foot 18 1,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / Senior,Senior
Regional 1 Feminin,Bourges Foot 18 1,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / Senior F,Senior F
U18 R2,Bourges Foot 18 1,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / U19 - U18,U18 (- 18 ans)
U18 R1 Feminin,Bourges Foot 18 1,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / U18 F - U17 F - U16 F,U18 F (- 18 ans F)
U17 Départemental 1,Bourges Foot 18 1,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / U17 - U16,U17 (- 17 ans)
U15 R1,Bourges Foot 18 1,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / U15 - U14,U15 (- 15 ans)
U15 R1 Feminin,Bourges Foot 18 1,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / U15 F - U14 F,U15 F (- 15 ans F)
Critérium U13 Ligue,Bourges Foot 18 1,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / U13 - U12,U13 (- 13 ans)
Critérium U11 Niveau 1,Bourges Foot 18 1,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / Football d'animation,U11 (- 11 ans)
Critérium U11 Niveau 3,Bourges Foot 18 13f 5,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / Football d'animation,U11 (- 11 ans)
U14 R1,Bourges Foot 18 14,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / U15 - U14,U14 (- 14 ans)
U16 R1,Bourges Foot 18 16,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / U17 - U16,U16 (- 16 ans)
N3,Bourges Foot 18 2,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / Senior,Senior
Regional 2 Feminin,Bourges Foot 18 2,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / Senior F,Senior F
U15 Départemental 1,Bourges Foot 18 2,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / U15 - U14,U15 (- 15 ans)
Critérium U11 Niveau 1,Bourges Foot 18 2,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / Football d'animation,U11 (- 11 ans)
Regional 1,Bourges Foot 18 3,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / Senior,Senior
Critérium U11 Niveau 2,Bourges Foot 18 3,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / Football d'animation,U11 (- 11 ans)
D3 Gar. Des Stuarts Distinxion,Bourges Foot 18 4,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / Senior,Senior
Critérium U13 Départemental 2,Bourges Foot 18 4,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / U13 - U12,U13 (- 13 ans)
Critérium U11 Niveau 2,Bourges Foot 18 4,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / Football d'animation,U11 (- 11 ans)
Critérium U13 Départemental 3,Bourges Foot 18 5,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / U13 - U12,U13 (- 13 ans)
Critérium U11 Niveau 3,Bourges Foot 18 6,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / Football d'animation,U11 (- 11 ans)
Critérium U13 Départemental 1,Bourges Foot 18(U12) 3,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / U13 - U12,U13 (- 13 ans)
Critérium U13 Départemental 1,Bourges Foot 18(U13) 2,560729,560729@lcfoot.fr,BOURGES FOOT 18,BOURGES,1 Bis rue Jules Bertaut 18000 BOURGES,"47,1024486","2,4150519",,1 Bis rue Jules Bertaut,,18000,BOURGES,Libre / U13 - U12,U13 (- 13 ans)
Critérium U13 Départemental 2,Bges Just./Av Sept. 1,525137,525137@lcfoot.fr,ENT.S. JUSTICES BOURGES,BOURGES,CHEMIN DE LA ROTTEE 18000 BOURGES,"47,0578219","2,4145535",STADE DE LA ROTTEE,CHEMIN DE LA ROTTEE,,18000,BOURGES,Libre / U13 - U12,U13 (- 13 ans)
Critérium U11 Niveau 2,Bges Just./Av Sept. 1,525137,525137@lcfoot.fr,ENT.S. JUSTICES BOURGES,BOURGES,CHEMIN DE LA ROTTEE 18000 BOURGES,"47,0578219","2,4145535",STADE DE LA ROTTEE,CHEMIN DE LA ROTTEE,,18000,BOURGES,Libre / Football d'animation,U11 (- 11 ans)
Critérium U13 Départemental 3,Bges Just./Av Sept. 2,525137,525137@lcfoot.fr,ENT.S. JUSTICES BOURGES,BOURGES,CHEMIN DE LA ROTTEE 18000 BOURGES,"47,0578219","2,4145535",STADE DE LA ROTTEE,CHEMIN DE LA ROTTEE,,18000,BOURGES,Libre / U13 - U12,U13 (- 13 ans)
Critérium U11 Niveau 3,Bges Just./Av Sept. 2,525137,525137@lcfoot.fr,ENT.S. JUSTICES BOURGES,BOURGES,CHEMIN DE LA ROTTEE 18000 BOURGES,"47,0578219","2,4145535",STADE DE LA ROTTEE,CHEMIN DE LA ROTTEE,,18000,BOURGES,Libre / Football d'animation,U11 (- 11 ans)
D3 Gar. Des Stuarts Distinxion,Bourges Justices Es 1,525137,525137@lcfoot.fr,ENT.S. JUSTICES BOURGES,BOURGES,CHEMIN DE LA ROTTEE 18000 BOURGES,"47,0578219","2,4145535",STADE DE LA ROTTEE,CHEMIN DE LA ROTTEE,,18000,BOURGES,Libre / Senior,Senior
Seniors Féminines À 8,Bourges Justices Es 1,525137,525137@lcfoot.fr,ENT.S. JUSTICES BOURGES,BOURGES,CHEMIN DE LA ROTTEE 18000 BOURGES,"47,0578219","2,4145535",STADE DE LA ROTTEE,CHEMIN DE LA ROTTEE,,18000,BOURGES,Libre / Senior F,Senior F
U18 Départemental 1,Bourges Justices Es 1,525137,525137@lcfoot.fr,ENT.S. JUSTICES BOURGES,BOURGES,CHEMIN DE LA ROTTEE 18000 BOURGES,"47,0578219","2,4145535",STADE DE LA ROTTEE,CHEMIN DE LA ROTTEE,,18000,BOURGES,Libre / U19 - U18,U18 (- 18 ans)
D4 My Team,Bourges Justices Es 2,525137,525137@lcfoot.fr,ENT.S. JUSTICES BOURGES,BOURGES,CHEMIN DE LA ROTTEE 18000 BOURGES,"47,0578219","2,4145535",STADE DE LA ROTTEE,CHEMIN DE LA ROTTEE,,18000,BOURGES,Libre / Senior,Senior
Regional 2,Bourges Moulon Es 1,514340,514340@lcfoot.fr,ESPE.S. DU MOULON BOURGES,BOURGES,RUE DE LA SENTE AUX LOUPS 18000 BOURGES,"47,102745","2,402076",STADE LA SENTE AUX LOUPS,RUE DE LA SENTE AUX LOUPS,,18000,BOURGES,Libre / Senior,Senior
U15 Départemental 3,Bourges Moulon Es 1,514340,514340@lcfoot.fr,ESPE.S. DU MOULON BOURGES,BOURGES,RUE DE LA SENTE AUX LOUPS 18000 BOURGES,"47,102745","2,402076",STADE LA SENTE AUX LOUPS,RUE DE LA SENTE AUX LOUPS,,18000,BOURGES,Libre / U15 - U14,U15 (- 15 ans)
Critérium U13 Départemental 1,Bourges Moulon Es 1,514340,514340@lcfoot.fr,ESPE.S. DU MOULON BOURGES,BOURGES,RUE DE LA SENTE AUX LOUPS 18000 BOURGES,"47,102745","2,402076",STADE LA SENTE AUX LOUPS,RUE DE LA SENTE AUX LOUPS,,18000,BOURGES,Libre / U13 - U12,U13 (- 13 ans)
Critérium U11 Niveau 1,Bourges Moulon Es 1,514340,514340@lcfoot.fr,ESPE.S. DU MOULON BOURGES,BOURGES,RUE DE LA SENTE AUX LOUPS 18000 BOURGES,"47,102745","2,402076",STADE LA SENTE AUX LOUPS,RUE DE LA SENTE AUX LOUPS,,18000,BOURGES,Libre / Football d'animation,U11 (- 11 ans)
Championnat Vétérans,Bourges Moulon Es 1,514340,514340@lcfoot.fr,ESPE.S. DU MOULON BOURGES,BOURGES,RUE DE LA SENTE AUX LOUPS 18000 BOURGES,"47,102745","2,402076",STADE LA SENTE AUX LOUPS,RUE DE LA SENTE AUX LOUPS,,18000,BOURGES,Foot Loisir / Foot Loisir,Foot Loisir
D1 Trophée Mutuale,Bourges Moulon Es 2,514340,514340@lcfoot.fr,ESPE.S. DU MOULON BOURGES,BOURGES,RUE DE LA SENTE AUX LOUPS 18000 BOURGES,"47,102745","2,402076",STADE LA SENTE AUX LOUPS,RUE DE LA SENTE AUX LOUPS,,18000,BOURGES,Libre / Senior,Senior
Critérium U13 Départemental 2,Bourges Moulon Es 2,514340,514340@lcfoot.fr,ESPE.S. DU MOULON BOURGES,BOURGES,RUE DE LA SENTE AUX LOUPS 18000 BOURGES,"47,102745","2,402076",STADE LA SENTE AUX LOUPS,RUE DE LA SENTE AUX LOUPS,,18000,BOURGES,Libre / U13 - U12,U13 (- 13 ans)
Critérium U11 Niveau 3,Bourges Moulon Es 2,514340,514340@lcfoot.fr,ESPE.S. DU MOULON BOURGES,BOURGES,RUE DE LA SENTE AUX LOUPS 18000 BOURGES,"47,102745","2,402076",STADE LA SENTE AUX LOUPS,RUE DE LA SENTE AUX LOUPS,,18000,BOURGES,Libre / Football d'animation,U11 (- 11 ans)
D3 Gar. Des Stuarts Distinxion,Bourges Moulon Es 3,514340,514340@lcfoot.fr,ESPE.S. DU MOULON BOURGES,BOURGES,RUE DE LA SENTE AUX LOUPS 18000 BOURGES,"47,102745","2,402076",STADE LA SENTE AUX LOUPS,RUE DE LA SENTE AUX LOUPS,,18000,BOURGES,Libre / Senior,Senior
Critérium U13 Départemental 2,Bourges Gazel (U12) 1,501541,501541@lcfoot.fr,GAZELEC S. BOURGES,BOURGES,3 RUE MARCEL PAUL 18000 BOURGES,"47,0652327","2,3914803",,3 RUE MARCEL PAUL,,18000,BOURGES,Libre / U13 - U12,U13 (- 13 ans)
